Date,Category,Description,Amount,Payment Method,Type,Merchant,Note
2024-03-14,Food,Coffee shop,310.23,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-03-24,Rent,Home rent,8875.38,Wallet,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-02-26,Rent,Home rent,7225.23,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-04-16,Education,Workshop,1325.54,Debit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-03-24,Miscellaneous,Donation,863.88,UPI,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-29,Health,Medicine,807.32,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-01,Food,Lunch,346.83,Cash,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-05-12,Rent,Apartment rent,16056.22,UPI,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-02-16,Bills,Phone,1356.15,Cash,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-24,Travel,Fuel,555.65,Credit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-04,Bills,Phone,847.09,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-03-19,Travel,Taxi,515.12,Debit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-19,Entertainment,Concert,1454.98,Cash,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-06-30,Entertainment,Streaming service,1513.77,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-01-25,Food,Coffee shop,443.52,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-01-27,Rent,Home rent,12776.37,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-04-17,Entertainment,Concert,1552.56,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-02,Bills,Phone,1850.98,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-06-03,Miscellaneous,Gift,558.61,Credit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-02-10,Travel,Fuel,494.51,Debit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-06-01,Food,Restaurant,408.14,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-03,Utilities,Mobile recharge,1642.02,Debit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-09,Rent,Home rent,10929.61,Cash,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-02-26,Rent,Home rent,8526.88,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-10,Entertainment,Game,1077.81,Cash,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-04-05,Miscellaneous,Other expense,771.08,UPI,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-22,Shopping,Clothes,1923.66,UPI,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-03-18,Entertainment,Concert,1288.06,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-05-04,Travel,Metro ride,471.69,Cash,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-17,Bills,Insurance,1784.26,UPI,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-05-07,Shopping,Gift,1579.58,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-03-16,Food,Grocery store,465.37,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-02-21,Rent,Office rent,11719.81,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-06-23,Rent,Home rent,13193.91,Credit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-17,Entertainment,Movie,1113.36,Wallet,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-02-14,Entertainment,Movie,1236.07,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-05-09,Utilities,Electricity bill,1447.62,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-04-03,Food,Coffee shop,333.6,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-03-15,Food,Dinner,457.73,Credit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-05-24,Shopping,Clothes,1194.63,Debit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-05-18,Food,Dinner,357.03,Credit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-03-22,Travel,Taxi,555.97,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-05-10,Entertainment,Game,1381.35,UPI,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-01-01,Travel,Fuel,285.47,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-02-14,Rent,Home rent,14765.84,Credit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-04-11,Food,Dinner,412.78,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-07,Shopping,Accessories,2136.55,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-28,Food,Restaurant,399.05,Cash,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-02-07,Travel,Bus ticket,443.09,UPI,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-21,Education,Online learning,733.25,UPI,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-18,Food,Coffee shop,285.58,Cash,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-01-06,Miscellaneous,Donation,587.51,Cash,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-01-02,Food,Grocery store,394.95,UPI,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-04-20,Rent,Office rent,13866.53,Cash,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-05-30,Food,Coffee shop,365.98,Wallet,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-31,Food,Lunch,492.94,Cash,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-03-07,Food,Dinner,340.27,Debit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-06-25,Food,Lunch,446.73,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-05-19,Shopping,Gift,1916.6,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-01-02,Health,Health checkup,1140.72,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-03-17,Miscellaneous,Donation,342.91,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-03-22,Miscellaneous,Other expense,704.29,Wallet,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-04-22,Rent,Apartment rent,15102.23,Cash,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-06-24,Food,Grocery store,378.57,Debit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-06-24,Food,Lunch,397.51,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-01-29,Health,Health checkup,1058.24,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-01-17,Food,Restaurant,347.19,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-05-03,Travel,Bus ticket,610.8,Credit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-03-18,Food,Lunch,527.83,Credit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-03-19,Travel,Flight booking,574.8,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-04-18,Food,Dinner,538.8,UPI,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-01-18,Food,Dinner,227.99,Debit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-05-22,Education,Course fee,1587.12,Debit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-06-20,Utilities,Internet bill,1605.53,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-05,Shopping,Clothes,1687.16,Cash,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-11,Food,Lunch,275.57,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-04-08,Entertainment,Movie,1187.24,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-06-17,Utilities,Water bill,1096.87,UPI,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-04-24,Health,Medicine,1071.29,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-03-16,Utilities,Electricity bill,825.2,Credit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-03-19,Food,Grocery store,534.58,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-12,Rent,Apartment rent,11296.24,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-02-17,Food,Grocery store,366.45,Wallet,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-05,Shopping,Accessories,1993.07,Wallet,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-02-26,Shopping,Accessories,2142.7,Wallet,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-20,Miscellaneous,Stationery,386.64,Cash,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-30,Bills,Electricity,1584.2,UPI,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-04-09,Utilities,Internet bill,1258.52,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-05-30,Bills,Electricity,960.02,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-04-02,Food,Lunch,431.24,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-03,Travel,Taxi,589.83,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-01-06,Miscellaneous,Gift,1075.37,Debit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-04-15,Bills,Insurance,670.95,Debit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-02-27,Food,Dinner,521.58,Wallet,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-04-17,Rent,Office rent,13987.83,Credit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-02-24,Travel,Fuel,566.58,Credit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-01-21,Rent,Office rent,20645.91,UPI,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-10,Travel,Bus ticket,748.48,Debit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-03-15,Food,Coffee shop,359.72,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-02-19,Food,Lunch,415.93,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-06-27,Utilities,Internet bill,534.81,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-04,Travel,Metro ride,641.43,Credit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-04-29,Shopping,Gift,1165.04,Cash,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-03-02,Rent,Home rent,14462.45,Debit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-04-25,Utilities,Mobile recharge,1864.53,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-01-27,Entertainment,Streaming service,1012.35,Cash,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-01-03,Utilities,Internet bill,1808.78,Cash,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-01-26,Rent,Apartment rent,13618.83,Cash,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-03-20,Rent,Home rent,14363.99,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-01-14,Shopping,Electronics,2380.99,UPI,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-05-25,Bills,Cable,1705.19,UPI,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-02-28,Health,Medicine,1101.42,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-06-03,Shopping,Gift,1854.83,UPI,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-02-01,Utilities,Internet bill,1216.38,Wallet,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-03-23,Shopping,Gift,2595.95,Debit Card,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-03-15,Utilities,Mobile recharge,1844.46,UPI,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-05-25,Education,Books,1447.27,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-03-03,Rent,Office rent,16614.08,Cash,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-07,Health,Medicine,674.05,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-03-07,Education,Books,2238.11,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-04-13,Education,Online learning,2260.37,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-04,Food,Lunch,504.7,Cash,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-02-02,Education,Course fee,1993.49,Wallet,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-06-29,Travel,Taxi,535.66,Wallet,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-03-09,Food,Lunch,303.01,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-05-13,Utilities,Mobile recharge,2105.62,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-21,Rent,Office rent,7652.22,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-06,Food,Grocery store,464.18,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-02-03,Utilities,Electricity bill,1359.09,Wallet,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-01-03,Food,Grocery store,483.02,UPI,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-05-27,Education,Workshop,3263.22,Wallet,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-02-11,Shopping,Clothes,1814.07,UPI,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-06-29,Bills,Cable,977.69,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-02-20,Shopping,Gift,3250.68,UPI,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-03-20,Bills,Cable,1321.48,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-05-09,Health,Health checkup,1025.09,Debit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-03-07,Shopping,Clothes,1374.91,Debit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-05,Miscellaneous,Donation,620.03,Debit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-03-09,Bills,Phone,1623.92,Debit Card,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-05-03,Food,Restaurant,332.53,UPI,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-09,Rent,Office rent,12617.41,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-01-01,Utilities,Water bill,1336.0,UPI,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-01-24,Education,Books,2250.19,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-03-10,Utilities,Mobile recharge,1024.85,Cash,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-06-29,Food,Grocery store,389.42,Wallet,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-05-19,Rent,Office rent,16487.71,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-03-06,Miscellaneous,Donation,917.98,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-03-05,Rent,Office rent,9122.25,UPI,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-05-22,Rent,Office rent,11751.3,UPI,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-01-01,Rent,Office rent,8896.19,Credit Card,Expense,Electricity Board,Synthetic sample data for expense tracking analysis.
2024-03-04,Entertainment,Game,1092.11,UPI,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-01-18,Food,Dinner,258.96,Cash,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-03-09,Rent,Home rent,10502.42,Cash,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-04-25,Entertainment,Game,1129.45,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-06-24,Travel,Bus ticket,488.67,Debit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-06-18,Miscellaneous,Stationery,435.16,Wallet,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-01-10,Bills,Insurance,1866.38,Wallet,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-29,Travel,Metro ride,424.9,Wallet,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-04-01,Rent,Home rent,9469.73,Wallet,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-03-12,Shopping,Clothes,1408.39,Cash,Expense,Zomato,Synthetic sample data for expense tracking analysis.
2024-03-30,Travel,Metro ride,240.1,Wallet,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-01-05,Entertainment,Streaming service,1043.64,Cash,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-03-10,Rent,Apartment rent,14152.63,Cash,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-01-08,Miscellaneous,Stationery,493.83,Wallet,Expense,BigBasket,Synthetic sample data for expense tracking analysis.
2024-05-12,Shopping,Gift,2311.04,Debit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-03-13,Shopping,Accessories,2411.19,Credit Card,Expense,Uber,Synthetic sample data for expense tracking analysis.
2024-02-15,Rent,Office rent,10212.11,Credit Card,Expense,Airbnb,Synthetic sample data for expense tracking analysis.
2024-04-24,Food,Dinner,499.59,Debit Card,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-05-21,Rent,Office rent,14429.26,Debit Card,Expense,Local Store,Synthetic sample data for expense tracking analysis.
2024-03-25,Health,Medicine,686.1,Debit Card,Expense,Health Clinic,Synthetic sample data for expense tracking analysis.
2024-05-16,Shopping,Electronics,1933.92,Credit Card,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
2024-04-27,Bills,Phone,555.05,Cash,Expense,Amazon,Synthetic sample data for expense tracking analysis.
2024-03-04,Bills,Phone,881.3,Cash,Expense,Swiggy,Synthetic sample data for expense tracking analysis.
